CHILDID,P1LEARN,P2LEARN,P4LEARN,T1LEARN,T2LEARN,T4LEARN,T5LEARN,T6LEARN,P1SRS10,P1SRS13,P1SRS15,P1SRS18,P1SRS22,P1SRS24,P2SRS10,P2SRS13,P2SRS15,P2SRS18,P2SRS22,P2SRS24,P4SRS10,P4SRS13,P4SRS15,P4SRS18,P4SRS22,P4SRS24,T1SRS11,T1SRS14,T1SRS15,T1SRS21,T1SRS23,T1SRS24,T2SRS11,T2SRS14,T2SRS15,T2SRS21,T2SRS23,T2SRS24,T4SRS11,T4SRS14,T4SRS15,T4SRS21,T4SRS23,T4SRS24,T5SRS11,T5SRS14,T5SRS15,T5SRS21,T5SRS23,T5SRS24,T5SRS26,G6SRS11,G6SRS14,G6SRS15,G6SRS21,G6SRS23,G6SRS24,G6SRS26
0001001C,3.83,4,4,3.5,,3.83,,,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,,,,,,,4,4,4,4,3,4,,,,,,,,,,,,,,
0001002C,3,2.83,3,3.33,3.83,3.33,3.86,3.29,3,3,3,2,3,4,3,3,2,2,3,4,3,4,2,2,4,3,3,4,3,3,3,4,3,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,3,4,2,3,4,4,3,3,4
0001003C,3.67,3.5,3.33,2,3,,,,4,4,3,3,4,4,4,3,3,4,3,4,3,4,3,4,3,3,2,2,2,2,2,2,2,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,
0001004C,3,3.67,3.5,2,2.5,3,2.43,,3,3,3,2,3,4,4,4,4,2,4,4,4,4,4,2,3,4,2,2,2,2,2,2,3,2,3,2,3,2,2,4,3,3,3,3,2,3,3,2,3,2,2,,,,,,,
0001005C,3.5,3.17,3.33,3.33,3.5,3.67,3.57,,4,3,4,2,4,4,3,4,2,2,4,4,3,4,3,2,4,4,2,4,4,4,3,3,3,4,3,4,4,3,3,4,4,3,4,4,4,4,3,4,4,3,3,,,,,,,
0001006C,2.67,3,3,2.17,2,,3.29,,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,1,2,2,2,3,2,,,,,,,3,3,4,3,4,3,3,,,,,,,
0001007C,2.67,2.67,2.67,2.17,2.17,,,,2,3,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,2,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
0001008C,4,3.33,3.83,3.67,4,,,,4,4,4,4,4,4,4,4,3,2,4,3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
0001009C,3.33,3.5,3.17,1.83,3,2,2.29,,3,4,2,3,4,4,3,4,3,3,4,4,2,4,1,4,4,4,2,2,1,2,2,2,4,4,2,2,3,3,1,3,2,3,1,2,3,2,2,2,2,2,3,,,,,,,
0001010C,3,3.17,2.67,2.83,3,2.5,3,4,,3,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,2,,4,4,2,2,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
0001011C,3.67,3.5,3.83,4,3.5,3.67,4,,3,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,,,,,,,
0001012C,3.5,3.33,3.67,3.33,2.83,3.5,4,,4,4,4,2,4,3,4,4,3,2,4,3,4,4,4,2,4,4,2,4,4,2,4,4,3,2,3,2,3,4,2,4,4,3,4,4,4,4,4,4,4,4,4,,,,,,,
0001013C,3.33,2.83,3,2,2.83,,,,2,4,2,4,4,4,3,3,3,3,2,3,2,4,3,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,
0001014C,3,3.83,3.17,2,2,,,,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,2,3,2,2,1,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,
0002002C,,3,,1.17,2.17,,,,,,,,,,3,3,2,3,4,3,,,,,,,2,1,1,1,1,1,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,
0002003C,3.17,3.5,3.33,2.83,3,3.33,3.29,2.86,2,4,3,4,3,3,3,4,3,3,4,4,4,4,2,2,4,4,2,3,3,3,3,3,2,4,3,3,3,3,2,4,4,4,3,3,3,4,4,3,3,3,3,3,2,3,4,2,3,3
0002004C,2.67,2.83,2.33,2.83,2.67,1.83,2.14,2.29,3,3,2,3,3,2,3,3,2,3,3,3,2,3,2,2,2,3,2,3,2,4,3,3,2,3,3,3,2,3,1,2,2,2,2,2,2,3,2,2,1,2,3,3,2,2,2,2,2,3
0002005C,3.17,3.8,3.33,3,3,3,3,,4,4,1,3,4,3,4,4,,4,4,3,4,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,2,3,3,3,4,3,3,,,,,,,
0002006C,2.5,2.5,3.5,2.5,2.17,2.5,2.14,2.29,2,3,2,2,3,3,2,3,2,3,3,2,3,4,3,4,4,3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,3,1,3,3,1,2,3,3,2,2,2,2,2,2,3,2,2,3
0002007C,3.17,3.67,,3.5,3.5,,,,3,3,3,3,3,4,4,4,3,3,4,4,,,,,,,2,4,4,3,4,4,3,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,
0002008C,3.33,3,3,1.5,1.67,1.83,2.86,1.43,3,3,3,4,4,3,2,4,2,2,4,4,3,4,2,2,4,3,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,3,3,3,3,3,2,3,1,2,1,2,1,1,2
0002009C,2.83,,,2.5,,,,,3,3,2,3,3,3,,,,,,,,,,,,,3,3,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
0002010C,2.67,2.67,2.5,2,1.33,1.67,1.57,,3,3,2,2,3,3,3,3,2,2,3,3,2,3,2,2,3,3,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,,,,,,,
0002011C,3.17,2.5,3,3.33,2.83,3.67,3.57,3.71,4,3,3,2,4,3,2,3,2,3,2,3,4,2,4,3,2,3,2,3,4,4,4,3,3,2,3,2,3,4,3,4,4,3,4,4,2,4,4,3,4,4,4,4,2,4,4,4,4,4
0002012C,3.17,3,3,3.17,2.83,3,3,,3,3,2,3,4,4,3,3,2,3,4,3,3,3,3,3,3,3,2,4,3,4,3,3,2,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,4,2,3,,,,,,,
0002013C,1.83,2.17,,1.67,2,,,,2,2,1,2,2,2,2,2,2,2,3,2,,,,,,,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
0002014C,2.67,2.33,3,1.83,1.83,2.17,,,2,4,2,2,4,2,2,3,3,2,2,2,2,2,2,4,4,4,2,2,2,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,,,,,,,,,,,,,,
0002015C,2.83,,,2.83,3.17,,,,3,3,2,3,3,3,,,,,,,,,,,,,2,3,3,3,4,2,2,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,
0002016C,4,2.67,,2.83,2.33,,,,4,4,4,4,4,4,2,4,2,2,2,4,,,,,,,2,2,4,3,3,3,2,2,3,3,3,1,,,,,,,,,,,,,,,,,,,,
0002017C,3.17,2.67,,2.83,1.83,,,,3,4,2,2,4,4,2,4,1,2,4,3,,,,,,,2,3,3,3,3,3,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
0002018C,2.67,3.17,3.33,2.83,3.33,3.67,3,4,2,4,2,2,4,2,4,4,1,2,4,4,4,4,2,2,4,4,2,3,3,3,3,3,2,4,3,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4
0002019C,3,3.17,3.33,2.67,3.17,3,3.14,2.57,2,4,2,3,4,3,3,4,2,3,4,3,4,3,3,3,4,3,2,3,2,3,4,2,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,4,3,2,3,2
0002020C,2.5,2.17,,1.67,1.83,2,,,2,3,2,3,3,2,3,2,1,3,2,2,,,,,,,2,2,1,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,
